RUID,Assigned Rooms
1072,"['SA', 'Apt 133 - 148', '133-A']"
1438,"['NCA', 'Apt 3819', '9-A']"
2774,"['MS', 'Low Rise', '6101-A']"
2712,"['SA', 'Apt 133 - 148', '133-A']"
3393,"['SA', 'Apt 133 - 148', '133-A']"
4443,"['JS', nan, '4101-A']"
4333,"['MZH', nan, '101-A']"
1971,"['BS', 'West', '201A-A']"
2756,"['BH', nan, '101-A']"
9,"['BS', 'West', '201A-A']"
4429,"['BS', 'West', '201A-A']"
3158,"['RA', 'Apt 3843', '101-A']"
3004,"['SA', 'Apt 133 - 148', '133-A']"
1625,"['JS', nan, '4101-A']"
4379,"['NCA', 'Apt 3819', '9-A']"
4467,"['WS', nan, '4101-A']"
2485,"['RA', 'Apt 3843', '101-A']"
789,"['SA', 'Apt 133 - 148', '133-A']"
68,"['MH', nan, '101-A']"
2989,"['AH', nan, '101-A']"
1702,"['MH', nan, '101-A']"
4089,"['TS', nan, '4101-A']"
3762,"['MS', 'Low Rise', '6101-A']"
454,"['SA', 'Apt 133 - 148', '133-A']"
1873,"['NCA', 'Apt 3819', '9-A']"
2026,"['BS', 'West', '201A-A']"
3382,"['SA', 'Apt 133 - 148', '133-A']"
3309,"['WS', nan, '4101-A']"
2097,"['BS', 'West', '201A-A']"
3445,"['BS', 'West', '201A-A']"
5152,"['JA', '800 - 815', '800-A']"
4620,"['BS', 'West', '201A-A']"
3977,"['BH', nan, '101-A']"
4820,"['BA', '301-324', '301-A']"
517,"['MS', 'Low Rise', '6101-A']"
606,"['RA', 'Apt 3843', '101-A']"
4558,"['WS', nan, '4101-A']"
5280,"['JA', '800 - 815', '800-A']"
424,"['RA', 'Apt 3843', '101-A']"
659,"['SA', 'Apt 133 - 148', '133-A']"
4974,"['BA', '301-324', '301-A']"
2703,"['NCA', 'Apt 3819', '9-A']"
900,"['WS', nan, '4101-A']"
2804,"['MRS', nan, '4101-A']"
2140,"['BS', 'West', '201A-A']"
691,"['RA', 'Apt 3843', '101-A']"
3950,"['MRS', nan, '4101-A']"
2252,"['MS', 'Low Rise', '6101-A']"
3808,"['NCA', 'Apt 3819', '9-A']"
1106,"['AH', nan, '101-A']"
784,"['TS', nan, '4101-A']"
2933,"['MS', 'Low Rise', '6101-A']"
3987,"['SA', 'Apt 133 - 148', '133-A']"
5035,"['JA', '800 - 815', '800-A']"
5230,"['JA', '800 - 815', '800-A']"
4788,"['JA', '800 - 815', '800-A']"
4424,"['SA', 'Apt 133 - 148', '133-A']"
5194,"['JA', '800 - 815', '800-A']"
4762,"['BA', '301-324', '301-A']"
3643,"['BH', nan, '101-A']"
3474,"['SA', 'Apt 133 - 148', '133-A']"
1994,"['CS', nan, '3101-A']"
2962,"['SA', 'Apt 133 - 148', '133-A']"
4860,"['BA', '301-324', '301-A']"
4330,"['BS', 'West', '201A-A']"
1906,"['BH', nan, '101-A']"
580,"['NCA', 'Apt 3819', '9-A']"
1493,"['MS', 'Low Rise', '6101-A']"
2679,"['JS', nan, '4101-A']"
7,"['BH', nan, '101-A']"
3938,"['MRS', nan, '4101-A']"
4021,"['JS', nan, '4101-A']"
3040,"['JS', nan, '4101-A']"
388,"['AH', nan, '101-A']"
3353,"['NCA', 'Apt 3819', '9-A']"
4439,"['MRS', nan, '4101-A']"
78,"['MZH', nan, '101-A']"
2509,"['JS', nan, '4101-A']"
1858,"['NCA', 'Apt 3819', '9-A']"
3363,"['MRS', nan, '4101-A']"
1240,"['MRS', nan, '4101-A']"
148,"['JS', nan, '4101-A']"
2880,"['MS', 'Low Rise', '6101-A']"
4236,"['MS', 'Low Rise', '6101-A']"
2757,"['BS', 'West', '201A-A']"
3379,"['BS', 'West', '201A-A']"
1000,"['SA', 'Apt 133 - 148', '133-A']"
1374,"['BS', 'West', '201A-A']"
491,"['SA', 'Apt 133 - 148', '133-A']"
4471,"['AH', nan, '101-A']"
3657,"['NCA', 'Apt 3819', '9-A']"
1477,"['RA', 'Apt 3843', '101-A']"
945,"['SA', 'Apt 133 - 148', '133-A']"
2944,"['NCA', 'Apt 3819', '9-A']"
3427,"['TS', nan, '4101-A']"
1520,"['CS', nan, '3101-A']"
2427,"['NCA', 'Apt 3819', '9-A']"
3629,"['AH', nan, '101-A']"
3216,"['MZH', nan, '101-A']"
1815,"['MH', nan, '101-A']"
1808,"['BS', 'West', '201A-A']"
2129,"['BS', 'West', '201A-A']"
3661,"['BH', nan, '101-A']"
1099,"['AH', nan, '101-A']"
4563,"['NCA', 'Apt 3819', '9-A']"
3636,"['RA', 'Apt 3843', '101-A']"
1894,"['MZH', nan, '101-A']"
3288,"['NCA', 'Apt 3819', '9-A']"
1055,"['NCA', 'Apt 3819', '9-A']"
2098,"['AH', nan, '101-A']"
3614,"['TS', nan, '4101-A']"
850,"['AH', nan, '101-A']"
2156,"['JS', nan, '4101-A']"
1039,"['BS', 'West', '201A-A']"
2914,"['AH', nan, '101-A']"
3398,"['NCA', 'Apt 3819', '9-A']"
2946,"['WS', nan, '4101-A']"
3889,"['BS', 'West', '201A-A']"
1289,"['BS', 'West', '201A-A']"
3708,"['RA', 'Apt 3843', '101-A']"
4086,"['BS', 'West', '201A-A']"
2119,"['MH', nan, '101-A']"
4109,"['NCA', 'Apt 3819', '9-A']"
1637,"['RA', 'Apt 3843', '101-A']"
539,"['MS', 'Low Rise', '6101-A']"
2662,"['MS', 'Low Rise', '6101-A']"
4148,"['BS', 'West', '201A-A']"
4387,"['BS', 'West', '201A-A']"
4636,"['RA', 'Apt 3843', '101-A']"
2341,"['SA', 'Apt 133 - 148', '133-A']"
2234,"['RA', 'Apt 3843', '101-A']"
4539,"['WS', nan, '4101-A']"
4398,"['MZH', nan, '101-A']"
1941,"['BH', nan, '101-A']"
3735,"['BS', 'West', '201A-A']"
2042,"['RA', 'Apt 3843', '101-A']"
2219,"['MH', nan, '101-A']"
2471,"['SA', 'Apt 133 - 148', '133-A']"
2801,"['MZH', nan, '101-A']"
1045,"['SA', 'Apt 133 - 148', '133-A']"
3857,"['JS', nan, '4101-A']"
1318,"['SA', 'Apt 133 - 148', '133-A']"
1403,"['BS', 'West', '201A-A']"
2666,"['SA', 'Apt 133 - 148', '133-A']"
3975,"['NCA', 'Apt 3819', '9-A']"
0,"['WS', nan, '4101-A']"
139,"['JS', nan, '4101-A']"
1263,"['RA', 'Apt 3843', '101-A']"
