RUID,Assigned Rooms
873591164,"['MS', 'High Rise', '7203-A']"
948238483,"['MS', 'High Rise', '7203-B']"
668497217,"['MS', 'High Rise', '7203-C']"
355414944,"['BS', 'East', '102B-C']"
313477735,"['BS', 'East', '102B-A']"
500676165,"['BS', 'East', '202B-A']"
892853148,"['BS', 'East', '202B-B']"
555117496,"['BS', 'East', '202B-C']"
170008579,"['BS', 'West', '307A-D']"
895557022,"['BS', 'North', '401A-D']"
110322866,"['BS', 'West', '302A-B']"
114942167,"['BS', 'West', '302A-A']"
594262393,"['BS', 'West', '302A-C']"
913922528,"['SA', 'Apt 261 - 276', '267-B']"
462024274,"['SA', 'Apt 261 - 276', '267-A']"
947968802,"['SA', 'Apt 165 - 180', '180-D']"
720354579,"['SA', 'Apt 165 - 180', '180-A']"
449155344,"['SA', 'Apt 165 - 180', '180-B']"
857542321,"['SA', 'Apt 197 - 220', '215-C']"
321250160,"['SA', 'Apt 197 - 220', '215-A']"
694204982,"['SA', 'Apt 197 - 220', '215-B']"
281272413,"['SA', 'Apt 261 - 276', '262-C']"
389129964,"['SA', 'Apt 261 - 276', '262-A']"
632997885,"['BS', 'North', '212-B']"
427707307,"['SA', 'Apt 181 - 196', '194-C']"
713693066,"['SA', 'Apt 181 - 196', '194-A']"
476551417,"['SA', 'Apt 181 - 196', '194-B']"
765060458,"['RA', 'Apt 3842', '169-D']"
140832173,"['RA', 'Apt 3842', '169-A']"
753403239,"['RA', 'Apt 3842', '169-B']"
311046755,"['SA', 'Apt 221 - 244', '228-C']"
163784376,"['SA', 'Apt 221 - 244', '228-A']"
125541577,"['SA', 'Apt 221 - 244', '228-B']"
727910793,"['BS', 'West', '211B-B']"
140003907,"['BS', 'North', '207B-C']"
965800237,"['BS', 'North', '207B-A']"
315594960,"['BS', 'North', '207B-B']"
370808798,"['SA', 'Apt 221 - 244', '231-A']"
573698372,"['SA', 'Apt 221 - 244', '231-B']"
771865686,"['BS', 'West', '204A-D']"
235442758,"['BS', 'West', '204A-A']"
366536272,"['BS', 'West', '204A-B']"
692225359,"['SA', 'Apt 245 - 260', '250-D']"
494246013,"['SA', 'Apt 245 - 260', '250-A']"
344112668,"['SA', 'Apt 245 - 260', '250-B']"
934961164,"['SA', 'Apt 197 - 220', '213-A']"
500248201,"['SA', 'Apt 197 - 220', '213-B']"
366261417,"['BS', 'East', '406B-C']"
831510499,"['BS', 'North', '402A-A']"
687063688,"['BS', 'North', '402A-B']"
470088393,"['BS', 'North', '402A-C']"
112859131,"['BS', 'East', '107A-C']"
487325596,"['BS', 'East', '107A-A']"
795454595,"['SA', 'Apt 197 - 220', '210-B']"
555016423,"['SA', 'Apt 197 - 220', '210-A']"
154722229,"['SA', 'Apt 197 - 220', '210-C']"
222891387,"['SA', 'Apt 221 - 244', '234-C']"
314555543,"['SA', 'Apt 221 - 244', '234-A']"
939163899,"['SA', 'Apt 221 - 244', '234-B']"
183262783,"['BS', 'North', '104B-C']"
366749696,"['BS', 'North', '104B-A']"
327683351,"['BS', 'North', '104B-B']"
712720272,"['BS', 'West', '210A-D']"
333226584,"['BS', 'West', '210A-A']"
629694106,"['BS', 'West', '210A-B']"
219170583,"['BS', 'East', '207B-C']"
318471971,"['BS', 'East', '207B-A']"
256769107,"['BS', 'East', '207B-B']"
157740697,"['BS', 'North', '107A-B']"
968624638,"['BS', 'North', '107A-A']"
131125423,"['MH', nan, '323-B']"
499489169,"['BS', 'North', '305B-A']"
969032341,"['BS', 'North', '305B-B']"
355178077,"['BS', 'North', '305B-C']"
173819064,"['BS', 'East', '210A-B']"
841841635,"['BS', 'East', '210A-A']"
