RUID,Assigned Rooms
532612536,"['AH', nan, '101-A']"
491878155,"['BS', 'West', '201A-A']"
960557845,"['BS', 'West', '201A-B']"
777342549,"['AH', nan, '102-A']"
152782265,"['BS', 'West', '201A-C']"
842369533,"['BS', 'West', '201A-D']"
645626769,"['BS', 'West', '201B-A']"
755331365,"['SA', 'Apt 133 - 148', '133-A']"
694212164,"['SA', 'Apt 133 - 148', '133-B']"
869964826,"['SA', 'Apt 133 - 148', '133-C']"
400880058,"['SA', 'Apt 133 - 148', '133-D']"
604791093,"['BS', 'West', '201B-B']"
765882584,"['BS', 'West', '201B-C']"
962353610,"['SA', 'Apt 133 - 148', '134-A']"
662988800,"['SA', 'Apt 133 - 148', '134-B']"
214978631,"['SA', 'Apt 133 - 148', '134-C']"
124360273,"['AH', nan, '103-A']"
280087476,"['SA', 'Apt 133 - 148', '134-D']"
398016271,"['BS', 'West', '201B-D']"
367389892,"['BS', 'West', '202A-A']"
479665689,"['BS', 'West', '202A-B']"
850643583,"['BS', 'West', '202A-C']"
906155943,"['BS', 'West', '202A-D']"
945815688,"['SA', 'Apt 133 - 148', '141-A']"
455303008,"['SA', 'Apt 133 - 148', '141-B']"
916279542,"['SA', 'Apt 133 - 148', '141-C']"
221926956,"['SA', 'Apt 133 - 148', '141-D']"
111497685,"['SA', 'Apt 133 - 148', '142-A']"
215195148,"['SA', 'Apt 133 - 148', '142-B']"
336145831,"['SA', 'Apt 133 - 148', '142-C']"
508325503,"['SA', 'Apt 133 - 148', '142-D']"
785947678,"['BS', 'West', '202B-A']"
723108234,"['SA', 'Apt 133 - 148', '135-A']"
530355757,"['SA', 'Apt 133 - 148', '135-B']"
988955242,"['AH', nan, '104-A']"
897130133,"['AH', nan, '105-A']"
509743086,"['AH', nan, '106-A']"
312170287,"['AH', nan, '107-A']"
535838563,"['SA', 'Apt 133 - 148', '135-C']"
829347254,"['SA', 'Apt 133 - 148', '135-D']"
940833526,"['BS', 'West', '202B-B']"
508705937,"['BS', 'West', '202B-C']"
804235221,"['BS', 'West', '202B-D']"
727591312,"['SA', 'Apt 133 - 148', '136-A']"
619769760,"['SA', 'Apt 133 - 148', '136-B']"
711429324,"['SA', 'Apt 133 - 148', '136-C']"
310585976,"['SA', 'Apt 133 - 148', '136-D']"
199302575,"['AH', nan, '108-A']"
349706137,"['SA', 'Apt 133 - 148', '143-A']"
250493217,"['BS', 'West', '203A-A']"
105387064,"['BS', 'West', '203A-B']"
461121746,"['BS', 'West', '203A-C']"
899960331,"['AH', nan, '109-A']"
814673942,"['BS', 'West', '203A-D']"
633042485,"['BS', 'West', '203B-A']"
356942659,"['SA', 'Apt 133 - 148', '143-B']"
886327894,"['SA', 'Apt 133 - 148', '143-C']"
732750157,"['SA', 'Apt 133 - 148', '143-D']"
727401636,"['SA', 'Apt 133 - 148', '144-A']"
280675721,"['SA', 'Apt 133 - 148', '144-B']"
821736837,"['SA', 'Apt 133 - 148', '144-C']"
978755356,"['BS', 'West', '203B-B']"
512100232,"['BS', 'West', '203B-C']"
235801524,"['SA', 'Apt 133 - 148', '144-D']"
513557420,"['BS', 'West', '203B-D']"
181677577,"['BS', 'West', '204A-A']"
817725684,"['BS', 'West', '204A-B']"
293322859,"['BS', 'West', '204A-C']"
473480806,"['SA', 'Apt 133 - 148', '137-A']"
941122497,"['SA', 'Apt 133 - 148', '137-B']"
265647131,"['SA', 'Apt 133 - 148', '137-C']"
240825560,"['SA', 'Apt 133 - 148', '137-D']"
673412387,"['AH', nan, '110-A']"
416631404,"['SA', 'Apt 133 - 148', '138-A']"
263114644,"['SA', 'Apt 133 - 148', '138-B']"
830605717,"['SA', 'Apt 133 - 148', '138-C']"
867729508,"['BS', 'West', '204A-D']"
778271980,"['SA', 'Apt 133 - 148', '138-D']"
788083481,"['SA', 'Apt 133 - 148', '145-A']"
596038656,"['SA', 'Apt 133 - 148', '145-B']"
389625159,"['SA', 'Apt 133 - 148', '145-C']"
421348960,"['BS', 'West', '204B-A']"
484798610,"['SA', 'Apt 133 - 148', '145-D']"
195136134,"['SA', 'Apt 133 - 148', '146-A']"
334893667,"['BS', 'West', '204B-B']"
511913334,"['BS', 'West', '204B-C']"
664871607,"['BS', 'West', '204B-D']"
259235621,"['SA', 'Apt 133 - 148', '146-B']"
717820322,"['SA', 'Apt 133 - 148', '146-C']"
741979671,"['SA', 'Apt 133 - 148', '146-D']"
146033002,"['SA', 'Apt 133 - 148', '147-A']"
229111712,"['SA', 'Apt 133 - 148', '147-B']"
381718866,"['SA', 'Apt 133 - 148', '147-C']"
712701549,"['SA', 'Apt 133 - 148', '147-D']"
391871370,"['SA', 'Apt 133 - 148', '148-A']"
242443437,"['SA', 'Apt 133 - 148', '148-B']"
550884743,"['SA', 'Apt 133 - 148', '148-C']"
123301669,"['SA', 'Apt 133 - 148', '148-D']"
970115449,"['SA', 'Apt 133 - 148', '139-A']"
559400672,"['SA', 'Apt 133 - 148', '139-B']"
874622707,"['SA', 'Apt 133 - 148', '139-C']"
395027204,"['BS', 'West', '206-A']"
508575942,"['BS', 'West', '206-B']"
807593757,"['BS', 'West', '206-C']"
708618762,"['AH', nan, '111-A']"
348938666,"['SA', 'Apt 133 - 148', '139-D']"
497150032,"['BS', 'West', '206-D']"
962496566,"['BS', 'West', '208A-A']"
483255768,"['BS', 'West', '208A-B']"
563252550,"['BS', 'West', '208A-C']"
855087868,"['SA', 'Apt 133 - 148', '140-A']"
405883909,"['SA', 'Apt 133 - 148', '140-B']"
666056377,"['SA', 'Apt 133 - 148', '140-C']"
668098417,"['SA', 'Apt 133 - 148', '140-D']"
165740564,"['SA', 'Apt 149 - 164', '149-A']"
116460056,"['SA', 'Apt 149 - 164', '149-B']"
599537905,"['SA', 'Apt 149 - 164', '149-C']"
488658395,"['SA', 'Apt 149 - 164', '149-D']"
804561863,"['SA', 'Apt 149 - 164', '150-A']"
782031001,"['SA', 'Apt 149 - 164', '150-B']"
383167218,"['SA', 'Apt 149 - 164', '150-C']"
371687366,"['AH', nan, '112-A']"
614235486,"['AH', nan, '113-A']"
925776060,"['BS', 'West', '208A-D']"
358523559,"['SA', 'Apt 149 - 164', '150-D']"
140269955,"['BS', 'West', '208B-A']"
392022065,"['BS', 'West', '208B-B']"
208819740,"['BS', 'West', '208B-C']"
814205403,"['BS', 'West', '208B-D']"
717741141,"['AH', nan, '114-A']"
998413776,"['SA', 'Apt 149 - 164', '151-A']"
612415105,"['SA', 'Apt 149 - 164', '151-B']"
713303411,"['SA', 'Apt 149 - 164', '151-C']"
699784220,"['AH', nan, '115-A']"
712589349,"['SA', 'Apt 149 - 164', '151-D']"
141985208,"['SA', 'Apt 149 - 164', '152-A']"
342740293,"['SA', 'Apt 149 - 164', '152-B']"
944379524,"['AH', nan, '116-A']"
829974117,"['AH', nan, '117-A']"
148410323,"['BS', 'West', '209A-A']"
476960934,"['BS', 'West', '209A-B']"
509763743,"['BS', 'West', '209A-C']"
127812714,"['SA', 'Apt 149 - 164', '152-C']"
816843484,"['AH', nan, '118-A']"
431227454,"['SA', 'Apt 149 - 164', '152-D']"
536495740,"['SA', 'Apt 149 - 164', '153-A']"
500329107,"['SA', 'Apt 149 - 164', '153-B']"
419456486,"['AH', nan, '201-A']"
613829497,"['SA', 'Apt 149 - 164', '153-C']"
531933341,"['AH', nan, '202-A']"
478435780,"['AH', nan, '203-A']"
437601750,"['BS', 'West', '209A-D']"
381799424,"['AH', nan, '204-A']"
431879861,"['SA', 'Apt 149 - 164', '153-D']"
900294641,"['AH', nan, '205-A']"
246292891,"['SA', 'Apt 149 - 164', '154-A']"
957577168,"['SA', 'Apt 149 - 164', '154-B']"
858989153,"['SA', 'Apt 149 - 164', '154-C']"
366420440,"['SA', 'Apt 149 - 164', '154-D']"
665306954,"['SA', 'Apt 149 - 164', '155-A']"
679203803,"['BS', 'West', '209B-A']"
915021141,"['AH', nan, '206-A']"
626144661,"['SA', 'Apt 149 - 164', '155-B']"
779402815,"['SA', 'Apt 149 - 164', '155-C']"
123121265,"['BS', 'West', '209B-B']"
756041257,"['BS', 'West', '209B-C']"
911098707,"['BS', 'West', '209B-D']"
616153008,"['AH', nan, '207-A']"
968250744,"['AH', nan, '208-A']"
751283639,"['SA', 'Apt 149 - 164', '155-D']"
253626558,"['SA', 'Apt 149 - 164', '156-A']"
950328706,"['SA', 'Apt 149 - 164', '156-B']"
797865371,"['SA', 'Apt 149 - 164', '156-C']"
134917145,"['BS', 'West', '210A-A']"
808209660,"['AH', nan, '209-A']"
701872997,"['AH', nan, '210-A']"
332790009,"['BS', 'West', '210A-B']"
181002100,"['BS', 'West', '210A-C']"
960192913,"['BS', 'West', '210A-D']"
876536835,"['SA', 'Apt 149 - 164', '156-D']"
726815962,"['SA', 'Apt 149 - 164', '157-A']"
805307295,"['SA', 'Apt 149 - 164', '157-B']"
