RUID,Assigned Rooms
111497685,"['RA', 'Apt 3840', '191-B']"
215195148,"['RA', 'Apt 3840', '191-A']"
336145831,"['RA', 'Apt 3840', '191-C']"
723108234,"['SA', 'Apt 197 - 220', '211-D']"
530355757,"['SA', 'Apt 197 - 220', '211-A']"
152782265,"['BS', 'West', '302B-A']"
842369533,"['BS', 'West', '302B-B']"
626751036,"['BS', 'West', '302B-C']"
645626769,"['BS', 'East', '301B-D']"
619769760,"['SA', 'Apt 133 - 148', '133-D']"
711429324,"['SA', 'Apt 133 - 148', '133-A']"
310585976,"['SA', 'Apt 133 - 148', '133-B']"
398016271,"['BS', 'North', '303B-A']"
191776742,"['BS', 'North', '303B-B']"
868994986,"['BS', 'North', '303B-C']"
508325503,"['SA', 'Apt 181 - 196', '194-A']"
944254915,"['SA', 'Apt 181 - 196', '194-B']"
631597467,"['SA', 'Apt 181 - 196', '194-C']"
906155943,"['BS', 'West', '208A-C']"
956668962,"['BS', 'West', '208A-A']"
743988610,"['BS', 'West', '208A-B']"
604791093,"['BS', 'North', '209A-D']"
765882584,"['BS', 'North', '209A-A']"
280087476,"['BH', nan, '106-A']"
727591312,"['SA', 'Apt 133 - 148', '142-A']"
312170287,"['SA', 'Apt 197 - 220', '208-D']"
988955242,"['BS', 'West', '201A-C']"
390557915,"['BS', 'West', '201A-A']"
509388283,"['BS', 'West', '201A-B']"
509743086,"['SA', 'Apt 133 - 148', '145-C']"
285438277,"['SA', 'Apt 133 - 148', '145-A']"
990285547,"['SA', 'Apt 133 - 148', '145-B']"
199302575,"['BS', 'North', '210A-D']"
897130133,"['BS', 'North', '409B-A']"
688134247,"['BS', 'North', '409B-B']"
940833526,"['BS', 'East', '412-A']"
508705937,"['BS', 'East', '412-B']"
804235221,"['BS', 'East', '412-C']"
755331365,"['MZH', nan, '215-B']"
367389892,"['BS', 'North', '207B-A']"
479665689,"['BS', 'North', '207B-B']"
850643583,"['BS', 'North', '207B-C']"
491878155,"['BS', 'East', '209A-D']"
960557845,"['BS', 'East', '209A-A']"
777342549,"['BS', 'North', '311B-B']"
517136103,"['BS', 'North', '311B-A']"
227797283,"['BS', 'North', '311B-C']"
124360273,"['SA', 'Apt 221 - 244', '231-A']"
916279542,"['SA', 'Apt 181 - 196', '184-A']"
221926956,"['SA', 'Apt 181 - 196', '184-B']"
270149989,"['SA', 'Apt 181 - 196', '184-C']"
785947678,"['BS', 'North', '210A-B']"
400880058,"['SA', 'Apt 261 - 276', '266-C']"
353703005,"['SA', 'Apt 261 - 276', '266-A']"
532612536,"['BS', 'West', '206-C']"
216480230,"['BS', 'West', '206-A']"
139088686,"['BS', 'West', '206-B']"
945815688,"['CS', nan, '3304-E']"
535838563,"['SA', 'Apt 133 - 148', '134-D']"
829347254,"['SA', 'Apt 133 - 148', '134-A']"
746025161,"['SA', 'Apt 133 - 148', '134-B']"
962353610,"['AH', nan, '230-B']"
925776060,"['BS', 'East', '410A-A']"
250493217,"['BS', 'East', '102B-B']"
105387064,"['BS', 'East', '102B-A']"
461121746,"['BS', 'East', '102B-C']"
614235486,"['BS', 'East', '410A-C']"
636940885,"['BS', 'East', '410A-B']"
971093122,"['BS', 'East', '410A-D']"
727401636,"['SA', 'Apt 149 - 164', '150-B']"
280675721,"['SA', 'Apt 149 - 164', '150-A']"
821736837,"['SA', 'Apt 149 - 164', '150-C']"
741979671,"['SA', 'Apt 149 - 164', '155-B']"
349706137,"['SA', 'Apt 197 - 220', '213-A']"
146033002,"['MH', nan, '333-A']"
778271980,"['SA', 'Apt 277 - 292', '285-D']"
583890929,"['SA', 'Apt 277 - 292', '285-A']"
839472189,"['SA', 'Apt 277 - 292', '285-B']"
391871370,"['BH', nan, '431-A']"
497150032,"['BS', 'East', '301A-A']"
814495139,"['BS', 'East', '301A-B']"
242443437,"['SA', 'Apt 165 - 180', '165-B']"
550884743,"['SA', 'Apt 165 - 180', '165-A']"
123301669,"['SA', 'Apt 165 - 180', '165-C']"
814673942,"['BS', 'North', '309B-C']"
371687366,"['SA', 'Apt 165 - 180', '166-B']"
633042485,"['BS', 'East', '303A-B']"
348938666,"['WS', nan, '4203-A']"
181677577,"['BS', 'East', '106B-C']"
817725684,"['BS', 'East', '106B-A']"
293322859,"['BS', 'East', '106B-B']"
140269955,"['BS', 'West', '405B-C']"
392022065,"['BS', 'West', '405B-A']"
473480806,"['SA', 'Apt 221 - 244', '232-A']"
941122497,"['SA', 'Apt 221 - 244', '232-B']"
235801524,"['SA', 'Apt 261 - 276', '270-C']"
197727085,"['SA', 'Apt 261 - 276', '270-A']"
788083481,"['SA', 'Apt 221 - 244', '239-C']"
596038656,"['SA', 'Apt 221 - 244', '239-A']"
389625159,"['SA', 'Apt 221 - 244', '239-B']"
259235621,"['BS', 'North', '410B-C']"
717820322,"['BS', 'North', '410B-A']"
899960331,"['BS', 'North', '403B-C']"
570695388,"['BS', 'North', '403B-A']"
610136614,"['BS', 'North', '403B-B']"
962496566,"['BS', 'North', '109A-B']"
483255768,"['BS', 'North', '109A-A']"
563252550,"['BS', 'North', '109A-C']"
165740564,"['SA', 'Apt 221 - 244', '237-D']"
116460056,"['SA', 'Apt 221 - 244', '237-A']"
712701549,"['BS', 'East', '110B-C']"
453585903,"['BS', 'East', '110B-A']"
484798610,"['SA', 'Apt 261 - 276', '271-B']"
559594740,"['SA', 'Apt 261 - 276', '271-A']"
138620691,"['SA', 'Apt 261 - 276', '271-C']"
195136134,"['NCA', 'Apt 3819', '14-B']"
855087868,"['NCA', 'Apt 3823', '106-B']"
229111712,"['BS', 'North', '104B-C']"
381718866,"['BS', 'North', '104B-A']"
421348960,"['BS', 'North', '103B-D']"
708618762,"['SA', 'Apt 261 - 276', '276-C']"
867729508,"['BS', 'North', '202A-D']"
550908020,"['BS', 'North', '202A-A']"
879869758,"['BS', 'North', '202A-B']"
804561863,"['SA', 'Apt 277 - 292', '283-D']"
978755356,"['BS', 'North', '409B-C']"
512100232,"['BS', 'North', '409B-D']"
265647131,"['BS', 'East', '305A-A']"
240825560,"['BS', 'East', '305A-B']"
471917519,"['BS', 'East', '305A-C']"
334893667,"['BS', 'North', '205B-C']"
511913334,"['BS', 'North', '205B-A']"
664871607,"['BS', 'North', '205B-B']"
673412387,"['SA', 'Apt 149 - 164', '161-C']"
980511636,"['SA', 'Apt 149 - 164', '161-A']"
513557420,"['BS', 'North', '409A-B']"
356942659,"['NCA', 'Apt 3823', '118-C']"
886327894,"['NCA', 'Apt 3823', '118-A']"
732750157,"['NCA', 'Apt 3823', '118-B']"
782031001,"['SA', 'Apt 277 - 292', '290-A']"
383167218,"['SA', 'Apt 277 - 292', '290-B']"
395027204,"['BS', 'North', '205A-A']"
508575942,"['BS', 'North', '205A-B']"
807593757,"['BS', 'North', '205A-C']"
405883909,"['NCA', 'Apt 3822', '84-B']"
666056377,"['NCA', 'Apt 3822', '84-A']"
668098417,"['NCA', 'Apt 3822', '84-C']"
599537905,"['AH', nan, '317-B']"
358523559,"['MZH', nan, '313-A']"
416631404,"['SA', 'Apt 221 - 244', '236-B']"
263114644,"['SA', 'Apt 221 - 244', '236-A']"
830605717,"['SA', 'Apt 221 - 244', '236-C']"
970115449,"['RA', 'Apt 3840', '194-C']"
559400672,"['RA', 'Apt 3840', '194-A']"
874622707,"['RA', 'Apt 3840', '194-B']"
915021141,"['BS', 'West', '310A-D']"
695254722,"['BS', 'West', '310A-A']"
277212858,"['BS', 'West', '310A-B']"
536495740,"['SA', 'Apt 133 - 148', '141-C']"
500329107,"['SA', 'Apt 133 - 148', '141-A']"
722871966,"['SA', 'Apt 261 - 276', '263-C']"
125024953,"['SA', 'Apt 261 - 276', '263-A']"
399136556,"['SA', 'Apt 261 - 276', '263-B']"
726815962,"['SA', 'Apt 277 - 292', '281-A']"
805307295,"['SA', 'Apt 277 - 292', '281-B']"
294653371,"['SA', 'Apt 277 - 292', '281-C']"
524510518,"['SA', 'Apt 221 - 244', '224-D']"
764311367,"['SA', 'Apt 221 - 244', '224-A']"
423915914,"['SA', 'Apt 221 - 244', '224-B']"
381799424,"['BS', 'East', '411A-A']"
782886784,"['BS', 'East', '411A-B']"
293949758,"['SA', 'Apt 181 - 196', '195-B']"
701872997,"['SA', 'Apt 277 - 292', '286-D']"
207341201,"['SA', 'Apt 277 - 292', '286-A']"
148410323,"['BS', 'North', '308-D']"
476960934,"['BS', 'North', '308-A']"
509763743,"['BS', 'North', '308-B']"
944379524,"['BS', 'West', '313-C']"
683732129,"['BS', 'West', '313-A']"
425603845,"['BS', 'West', '313-B']"
437601750,"['BS', 'North', '204A-C']"
814205403,"['BS', 'East', '212-C']"
420432980,"['BS', 'East', '212-A']"
713011882,"['BS', 'East', '212-B']"
968250744,"['BS', 'North', '101B-D']"
693423974,"['BS', 'West', '308B-A']"
876536835,"['SA', 'Apt 149 - 164', '162-B']"
212322652,"['SA', 'Apt 149 - 164', '162-A']"
613829497,"['SA', 'Apt 221 - 244', '238-D']"
713303411,"['TS', nan, '4103-E']"
570558252,"['MH', nan, '330-A']"
801334382,"['BS', 'East', '103B-C']"
910299413,"['BS', 'East', '103B-A']"
665306954,"['SA', 'Apt 221 - 244', '226-C']"
414799907,"['SA', 'Apt 149 - 164', '152-D']"
933524155,"['SA', 'Apt 149 - 164', '152-A']"
141985208,"['RA', 'Apt 3843', '124-C']"
342740293,"['RA', 'Apt 3843', '124-A']"
816843484,"['BS', 'East', '407A-C']"
543169362,"['BS', 'East', '407A-A']"
884993006,"['BS', 'East', '407A-B']"
672481774,"['BS', 'West', '410A-D']"
175676215,"['BS', 'West', '410A-A']"
193428414,"['BS', 'West', '410A-B']"
501018462,"['BS', 'East', '108-A']"
671208479,"['BS', 'East', '108-B']"
845387388,"['BS', 'East', '108-C']"
630823011,"['SA', 'Apt 133 - 148', '137-A']"
136510099,"['SA', 'Apt 133 - 148', '137-B']"
499371607,"['SA', 'Apt 133 - 148', '137-C']"
431879861,"['SA', 'Apt 197 - 220', '206-C']"
419456486,"['BS', 'East', '306A-C']"
253626558,"['SA', 'Apt 165 - 180', '179-C']"
950328706,"['SA', 'Apt 165 - 180', '179-A']"
797865371,"['SA', 'Apt 165 - 180', '179-B']"
218978006,"['BS', 'North', '102B-B']"
615406338,"['BS', 'North', '102B-A']"
397363363,"['BS', 'North', '102B-C']"
593386504,"['NCA', 'Apt 3819', '18-C']"
951221704,"['NCA', 'Apt 3819', '18-A']"
213657805,"['NCA', 'Apt 3819', '18-B']"
318064950,"['BS', 'West', '307A-A']"
699784220,"['SA', 'Apt 165 - 180', '170-C']"
326739917,"['SA', 'Apt 165 - 180', '170-A']"
199040425,"['BS', 'East', '401B-D']"
239978274,"['BS', 'East', '401B-A']"
134917145,"['BS', 'North', '208-C']"
808209660,"['SA', 'Apt 197 - 220', '215-B']"
255848212,"['SA', 'Apt 197 - 220', '215-A']"
616153008,"['BS', 'West', '311B-A']"
719341945,"['BS', 'West', '311B-B']"
205018220,"['BS', 'West', '311B-C']"
829974117,"['BS', 'East', '409B-B']"
743926919,"['SA', 'Apt 165 - 180', '175-D']"
227357230,"['SA', 'Apt 165 - 180', '175-A']"
750725146,"['SA', 'Apt 165 - 180', '175-B']"
127812714,"['MH', nan, '422-A']"
531933341,"['BS', 'West', '306-B']"
209126072,"['BS', 'West', '306-A']"
478435780,"['BS', 'East', '301A-D']"
613018268,"['BS', 'East', '301A-C']"
322756208,"['BS', 'North', '302A-A']"
934504391,"['BS', 'North', '302A-B']"
846875439,"['BS', 'North', '302A-C']"
900294641,"['BS', 'North', '210B-D']"
217646579,"['BS', 'West', '409A-C']"
139335352,"['TS', nan, '4208-C']"
431227454,"['SA', 'Apt 181 - 196', '188-B']"
712589349,"['SA', 'Apt 245 - 260', '256-B']"
651180929,"['SA', 'Apt 245 - 260', '256-A']"
