RUID,Assigned Rooms
110322866,"['BS', 'North', '210A-D']"
114942167,"['BS', 'North', '210A-A']"
594262393,"['BS', 'North', '210A-B']"
421462888,"['BS', 'North', '403A-D']"
122082784,"['BS', 'North', '403A-A']"
316541638,"['BS', 'North', '403A-B']"
632997885,"['SA', 'Apt 277 - 292', '289-A']"
692225359,"['BS', 'North', '409A-A']"
494246013,"['BS', 'North', '409A-B']"
344112668,"['BS', 'North', '409A-C']"
158185009,"['BS', 'West', '305A-C']"
536413979,"['BS', 'West', '305A-A']"
843673543,"['BS', 'West', '305A-B']"
728344198,"['SA', 'Apt 221 - 244', '238-A']"
224744243,"['SA', 'Apt 221 - 244', '238-B']"
551852886,"['SA', 'Apt 149 - 164', '152-C']"
480711494,"['SA', 'Apt 149 - 164', '152-A']"
552247231,"['SA', 'Apt 149 - 164', '152-B']"
117525509,"['NCA', 'Apt 3819', '2-B']"
955956086,"['NCA', 'Apt 3819', '2-A']"
366261417,"['BS', 'West', '208A-A']"
610183216,"['BS', 'East', '311A-D']"
537527945,"['BS', 'East', '311A-A']"
803087284,"['BS', 'East', '311A-B']"
636628235,"['SA', 'Apt 197 - 220', '200-C']"
196779893,"['SA', 'Apt 197 - 220', '200-A']"
110826757,"['SA', 'Apt 165 - 180', '170-D']"
215309780,"['SA', 'Apt 165 - 180', '170-A']"
998514031,"['SA', 'Apt 165 - 180', '170-B']"
879220507,"['SA', 'Apt 261 - 276', '275-B']"
169148275,"['SA', 'Apt 261 - 276', '275-A']"
795454595,"['BS', 'North', '103B-B']"
555016423,"['BS', 'North', '103B-A']"
154722229,"['BS', 'North', '103B-C']"
947968802,"['SA', 'Apt 197 - 220', '206-D']"
720354579,"['SA', 'Apt 197 - 220', '206-A']"
449155344,"['SA', 'Apt 197 - 220', '206-B']"
355414944,"['SA', 'Apt 133 - 148', '147-D']"
313477735,"['SA', 'Apt 133 - 148', '147-A']"
322562737,"['SA', 'Apt 133 - 148', '139-C']"
887716940,"['SA', 'Apt 133 - 148', '139-A']"
106780436,"['SA', 'Apt 133 - 148', '139-B']"
515074443,"['BS', 'North', '110B-A']"
764785350,"['BS', 'North', '110B-B']"
322786474,"['BS', 'North', '110B-C']"
831510499,"['BS', 'North', '406A-A']"
687063688,"['BS', 'North', '406A-B']"
470088393,"['BS', 'North', '406A-C']"
170008579,"['BS', 'East', '306A-B']"
913922528,"['SA', 'Apt 221 - 244', '226-B']"
462024274,"['SA', 'Apt 221 - 244', '226-A']"
975350048,"['BS', 'West', '401A-A']"
748396203,"['BS', 'West', '401A-B']"
946717419,"['BS', 'West', '401A-C']"
112859131,"['BS', 'North', '310B-D']"
487325596,"['BS', 'North', '310B-A']"
771865686,"['BS', 'West', '206-B']"
235442758,"['BS', 'West', '206-A']"
366536272,"['BS', 'West', '206-C']"
655511745,"['BS', 'East', '405B-D']"
845452233,"['BS', 'East', '405B-A']"
923666995,"['BS', 'North', '204B-B']"
291227259,"['BS', 'North', '204B-A']"
867086657,"['BS', 'North', '204B-C']"
105741775,"['SA', 'Apt 221 - 244', '241-A']"
522213041,"['SA', 'Apt 221 - 244', '241-B']"
500676165,"['BS', 'East', '212-A']"
892853148,"['BS', 'East', '212-B']"
555117496,"['BS', 'East', '212-C']"
910602632,"['BS', 'East', '202A-C']"
992416681,"['BS', 'West', '208A-B']"
231932467,"['BS', 'West', '208A-C']"
498336087,"['BS', 'West', '208A-D']"
765060458,"['MS', 'Low Rise', '6301-D']"
140832173,"['MS', 'Low Rise', '6301-A']"
753403239,"['MS', 'Low Rise', '6301-B']"
173819064,"['BS', 'North', '404B-C']"
841841635,"['BS', 'North', '404B-A']"
583295035,"['BS', 'North', '404B-B']"
117719443,"['SA', 'Apt 221 - 244', '230-A']"
183262783,"['SA', 'Apt 165 - 180', '172-C']"
366749696,"['SA', 'Apt 165 - 180', '172-A']"
327683351,"['SA', 'Apt 165 - 180', '172-B']"
269968504,"['BS', 'East', '111A-C']"
429623275,"['BS', 'East', '111A-A']"
736088677,"['BS', 'East', '111A-B']"
192629323,"['BS', 'East', '207B-C']"
135842891,"['BS', 'East', '207B-A']"
219170583,"['SA', 'Apt 261 - 276', '263-B']"
318471971,"['SA', 'Apt 261 - 276', '263-A']"
256769107,"['SA', 'Apt 261 - 276', '263-C']"
436117745,"['BS', 'North', '102B-C']"
286763636,"['BS', 'North', '102B-A']"
117749596,"['BS', 'North', '102B-B']"
895557022,"['BS', 'North', '206B-A']"
934961164,"['SA', 'Apt 261 - 276', '270-B']"
